◎译　　名　Ride  On,◎片　　名　龙马精神,◎年　　代　2023,◎产　　地　中国大陆,◎类　　别　剧情/喜剧/动作,◎语　　言　普通话,◎字　　幕　中文
◎译　　名　Manifesto,◎片　　名　望道  /  宣言,◎年　　代　2023,◎产　　地　中国大陆,◎类　　别　剧情/历史,◎字　　幕　中文,◎语　　言　普通话
◎译　　名　催眠  / 潜眠叛变(港),◎片　　名　Hypnotic,◎年　　代　2023,◎产　　地　美国,◎类　　别　动作 / 悬疑 /  惊悚,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　毒舌律师  / 毒舌大状,◎片　　名　A Guilty Conscience,◎年　　代　2023,◎产　　地　中国香港 /  中国大陆,◎类　　别　剧情,◎语　　言　粤语,◎上映日期　2023-01-21(中国香港) /  2023-02-24(中国大陆)
◎译　　名　追凶  / 追捕杀人狂(港) / 限时追捕(台) / 恶世之子,◎片　　名　To Catch A Killer /  Misanthrope,◎年　　代　2023,◎产　　地　美国,◎类　　别　剧情 / 动作 / 悬疑 / 惊悚 /  犯罪,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　圣母峰消失之谜,◎片　　名　Finding  Michael,◎年　　代　2023,◎产　　地　英国,◎类　　别　纪录片,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　短暂的偷情纪实/临时联络人的编年史,◎片　　名　Chronique  d'une liaison passag&egrave;re/Diary of a Fleeting  Affair,◎年　　代　2022,◎产　　地　法国,◎类　　别　爱情,◎语　　言　法语,◎字　　幕　中英双字
◎译　　名　倒数说爱你  / 我比今天更爱你 / Yesterday Once  More,◎年　　代　2023,◎产　　地　中国大陆,◎类　　别　爱情/奇幻,◎语　　言　普通话,◎字　　幕　中文,◎上映日期　2023-04-28(中国大陆)
◎译　　名　Tale  of the Night,◎片　　名　长沙夜生活 / 夜生活 / 我的夜晚比白天多 /  群星闪耀的夜晚,◎年　　代　2023,◎产　　地　中国大陆,◎类　　别　剧情/爱情,◎语　　言　普通话,◎字　　幕　中文
◎译　　名　同路前行/The  Lulus,◎片　　名　La guerre des  Lulus,◎年　　代　2022,◎产　　地　法国,◎类　　别　剧情/冒险,◎语　　言　法语/德语,◎字　　幕　中文
◎译　　名　惊天救援/惊天营救/Flashover,◎年　　代　2023,◎产　　地　中国大陆,◎类　　别　剧情/动作/灾难,◎语　　言　普通话,◎字　　幕　中英双字,◎上映日期　2023-04-28(中国大陆)
◎译　　名　疾速追杀4/捍卫任务4(台)/疾速对决/疾速反击/杀神John  Wick4(港),◎片　　名　John Wick: Chapter  4,◎年　　代　2023,◎产　　地　美国,◎类　　别　动作/惊悚/犯罪,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　黑帮老妈,◎片　　名　Mafia  Mamma,◎年　　代　2023,◎产　　地　英国 / 意大利 / 美国,◎类　　别　喜剧 / 动作 /  犯罪,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　大力士：乔治&middot;福尔曼,◎片　　名　Big  George Foreman / Big George Foreman: The Miraculous Story of the Once and Future  Heavyweight Champion of the World,◎年　　代　2023,◎产　　地　美国,◎类　　别　剧情 / 传记 /  运动,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　Railway  Heroes,◎片　　名　铁道英雄/铁道游击队1939/铁道队,◎年　　代　2021,◎产　　地　中国大陆,◎类　　别　剧情/动作/历史/战争,◎语　　言　普通话,◎字　　幕　中英双字
◎译　　名　超级马力欧兄弟大电影  / 超级马里奥兄弟 / 超级玛利欧兄弟电影版(台) / 超级玛利欧兄弟大电影(港),◎片　　名　The Super Mario Bros.  Movie,◎年　　代　2023,◎产　　地　美国 / 日本,◎类　　别　喜剧 / 爱情 / 科幻 / 动画 / 奇幻 /  冒险,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　新神榜：杨戬  / New Gods: Yang Jian,◎年　　代　2022,◎产　　地　中国大陆,◎类　　别　动作 / 动画 / 奇幻 /  冒险,◎语　　言　普通话,◎字　　幕　中文,◎上映日期　2022-08-19(中国大陆)
◎译　　名　气垫传奇  / 气垫 / AIR Jordan,◎片　　名　AIR,◎年　　代　2023,◎产　　地　美国,◎类　　别　剧情 / 传记 /  运动,◎语　　言　英语,◎字　　幕　中文
"◎译　　名　荒原  / Where Nothing Grows / Tam, gdzie nic nie  ro&#347;nie",◎年　　代　2022,◎产　　地　中国大陆,◎类　　别　剧情/冒险,◎语　　言　普通话,◎字　　幕　中文,◎上映日期　2023-03-03(中国大陆)  / 2022-10-18(华沙电影节)
◎译　　名　传奇与蝴蝶,◎片　　名　THE  LEGEND ＆ BUTTERFLY / The Legend and Butterfly /  レジェンド&middot;アンド&middot;バタフライ,◎年　　代　2023,◎产　　地　日本,◎类　　别　动作 / 爱情 /  历史,◎语　　言　日语,◎字　　幕　中文
◎译　　名　母亲本色  / 慈母杀心(台) / 母亲,◎片　　名　The  Mother,◎年　　代　2023,◎产　　地　美国,◎类　　别　动作/惊悚,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　盟约  / 誓约,◎片　　名　The Covenant,◎年　　代　2023,◎产　　地　英国 / 西班牙,◎类　　别　动作 /  惊悚,◎语　　言　英语,◎字　　幕　中英双字
◎译　　名　Post  Truth,◎片　　名　保你平安 /  洗白白,◎年　　代　2022,◎产　　地　中国大陆,◎类　　别　剧情/喜剧,◎语　　言　普通话,◎字　　幕　中英双字
◎译　　名　蚁人与黄蜂女：量子狂潮  / 蚁人3 / 蚁人与黄蜂女：量子狂热(台) / 蚁人3：量子狂热 / 蚁人与黄蜂女：量子空间 / 蚁人与黄蜂女：量子领域 / 蚁侠3  蚁侠与黄蜂女：量子狂热(港),◎片　　名　Ant-Man and the Wasp: Quantumania / Ant-Man  3,◎年　　代　2023,◎产　　地　美国,◎类　　别　喜剧 / 动作 / 科幻 /  冒险,◎语　　言　国英双语,◎字　　幕　中英双字
◎译　　名　Journey  to the West,◎片　　名　宇宙探索编辑部 /  宇宙编辑部的故事,◎年　　代　2021,◎产　　地　中国大陆,◎类　　别　喜剧/科幻,◎语　　言　普通话,◎字　　幕　中英双字
